157,Texas,0.506,32,346,157
158,WI-Grn Bay,0.506,91,303,156
159,TX A&M-CC,0.506,58,313,159
160,Elon,0.504,4,304,160
161,TN State,0.504,2,176,161
162,N Iowa,0.504,3,204,162
163,UC Davis,0.504,1,293,163
164,TN Martin,0.503,54,326,164
165,Maryland BC,0.502,67,329,165
166,Wash State,0.502,23,256,167
167,Rice,0.502,78,272,168
168,Oklahoma,0.502,5,175,166
169,Ball State,0.502,52,347,169
170,Samford,0.501,66,314,170
171,Canisius,0.501,77,290,171
172,Rutgers,0.500,14,278,173
173,Liberty,0.500,53,334,174
174,E Michigan,0.499,16,231,175
175,Houston Bap,0.499,92,323,176
176,Stony Brook,0.498,91,331,178
177,IPFW,0.498,66,240,177
178,W Michigan,0.498,36,316,179
179,Texas State,0.497,7,328,172
180,Utah State,0.496,46,219,180
181,Loyola-Chi,0.496,102,240,181
182,Coastal Car,0.495,139,348,182
183,Fairfield,0.495,8,212,183
184,Boston U,0.495,18,280,184
185,UMKC,0.494,19,282,185
186,Weber State,0.494,99,343,186
187,Gard-Webb,0.494,18,282,187
188,Evansville,0.493,84,248,189
189,Lipscomb,0.493,149,348,188
190,Wofford,0.492,162,335,190
191,San Jose St,0.490,127,326,192
192,Mercer,0.490,64,312,195
193,U Mass,0.490,4,194,194
194,LSU,0.490,51,345,191
195,Sam Hous St,0.490,59,322,193
196,Hofstra,0.487,45,350,196
197,U Penn,0.486,95,293,197
198,UAB,0.485,88,275,198
199,Rider,0.485,149,324,199
200,Morehead St,0.484,105,316,200
201,St Josephs,0.484,5,264,201
202,NC Central,0.484,57,329,202
203,Ste F Austin,0.483,40,314,203
204,San Diego,0.481,98,317,204
205,Utah Val St,0.481,19,316,205
206,Navy,0.481,44,281,206
207,Idaho,0.480,67,328,207
208,Holy Cross,0.480,20,263,209
209,Missouri St,0.480,67,229,208
210,Washington,0.479,30,253,210
211,Denver,0.479,137,335,211
212,E Carolina,0.478,35,261,212
213,Lg Beach St,0.476,52,283,213
214,Fordham,0.475,51,306,214
215,Loyola-MD,0.475,69,335,215
216,Central Mich,0.473,23,320,217
217,N Florida,0.473,68,348,216
218,IUPUI,0.473,158,314,218
219,Boston Col,0.472,125,332,219
220,Bradley,0.471,140,349,220
221,Montana,0.471,156,336,221
222,LIU-Brooklyn,0.470,48,307,222
223,Pacific,0.470,68,299,223
224,TX El Paso,0.470,202,350,224
225,Bowling Grn,0.467,70,317,225
226,W Kentucky,0.467,89,313,226
227,Radford,0.465,109,328,227
228,Alcorn State,0.464,203,341,228
229,SC Upstate,0.463,60,328,230
230,Murray St,0.463,129,288,231
231,S Alabama,0.463,26,238,229
232,Lamar,0.462,85,343,232
233,Portland,0.460,106,253,233
234,Indiana St,0.460,19,251,234
235,Delaware,0.459,86,311,235
236,High Point,0.459,27,271,236
237,DePaul,0.458,63,321,237
238,Rob Morris,0.457,171,343,238
239,Saint Louis,0.457,54,319,239
