89,La Salle,1.053,0.926,0.996,1.095,1.012,0.927
90,St Bonavent,1.051,0.934,0.871,1.087,1.019,1.086
91,Montana St,1.049,1.070,1.068,1.094,1.005,1.054
92,TN Martin,1.049,1.009,0.863,1.128,0.990,1.031
93,Portland St,1.049,0.978,0.892,1.057,1.044,1.018
94,Maryland,1.048,0.988,0.953,1.036,1.063,1.087
95,North Dakota,1.047,1.067,1.087,1.103,1.019,0.995
96,Pittsburgh,1.047,0.883,1.033,1.102,0.987,1.095
97,NC State,1.046,0.934,0.856,1.102,0.972,1.067
98,Ohio,1.046,0.964,0.929,1.068,1.023,1.076
99,Jacksonville,1.046,1.032,1.010,1.056,1.040,1.004
100,Lehigh,1.045,0.984,0.906,1.090,1.014,1.059
101,Morehead St,1.044,0.990,1.007,1.091,1.007,1.039
102,Missouri St,1.044,1.001,0.958,1.064,1.024,0.942
103,Kansas St,1.044,1.066,1.029,1.051,1.038,1.009
104,Loyola-Chi,1.043,0.984,0.698,1.065,1.026,0.940
105,SC Upstate,1.043,1.019,0.763,1.019,1.059,0.988
106,W Michigan,1.043,0.978,0.878,1.152,0.953,1.003
107,VCU,1.043,1.048,1.021,1.112,0.985,1.075
108,BYU,1.043,1.018,1.035,1.047,1.037,1.092
109,IUPUI,1.042,0.974,0.747,1.088,1.019,0.943
110,Richmond,1.042,1.113,1.039,1.084,1.003,1.084
111,N Kentucky,1.042,1.000,0.912,1.117,0.999,0.984
112,NC Central,1.042,0.963,0.859,1.098,1.015,0.973
113,Harvard,1.041,1.032,0.979,1.059,1.025,0.967
114,N Dakota St,1.040,1.059,0.879,1.101,1.000,1.007
115,Yale,1.040,1.029,1.011,1.082,1.010,1.080
116,Boise State,1.040,0.937,0.823,1.069,1.020,1.053
117,N Hampshire,1.040,0.935,0.699,1.096,1.003,0.999
118,Chattanooga,1.039,0.957,0.985,1.081,1.009,1.075
119,Valparaiso,1.038,0.904,0.785,1.062,1.013,1.047
120,Kent State,1.037,1.067,1.122,1.093,0.992,1.041
121,Vanderbilt,1.036,0.926,0.984,1.113,0.971,1.066
122,Northwestern,1.036,0.925,0.972,1.065,1.007,1.069
123,Ball State,1.036,0.977,1.022,1.045,1.029,1.023
124,Northeastrn,1.036,0.978,0.788,1.077,1.014,1.031
125,Siena,1.036,1.135,1.176,1.050,1.026,1.052
126,Auburn,1.035,1.109,1.045,1.101,0.977,0.950
127,Wright State,1.035,1.102,1.035,1.091,0.986,0.993
128,South Dakota,1.034,0.996,1.042,1.062,1.018,1.024
129,Colorado St,1.034,0.991,0.876,1.067,0.997,1.077
130,Davidson,1.034,1.046,0.926,1.036,1.032,1.085
131,Mass Lowell,1.034,1.093,0.990,1.070,1.007,0.995
132,Michigan St,1.033,1.039,0.978,1.113,0.966,1.155
133,Jksnville St,1.033,1.060,1.004,0.976,1.052,0.976
134,Ohio State,1.033,1.024,0.855,1.069,0.979,1.001
135,Miami (FL),1.032,0.933,0.908,1.066,0.999,1.110
136,Austin Peay,1.032,1.144,1.144,1.078,1.001,1.030
137,TX Southern,1.032,0.813,0.837,1.124,0.995,1.045
138,Elon,1.031,1.133,0.973,1.082,0.996,1.019
139,Towson,1.031,1.060,0.921,1.073,0.998,1.028
140,E Michigan,1.030,0.934,0.913,1.070,1.002,1.029
141,Kennesaw St,1.030,1.017,0.943,1.095,0.993,0.983
142,GA Southern,1.028,0.897,0.703,1.084,0.993,1.010
143,TX A&M-CC,1.028,1.016,0.952,1.087,0.979,1.024
144,Mississippi,1.028,1.078,0.915,1.034,1.022,1.038
145,Col Charlestn,1.027,1.036,1.041,1.036,1.020,0.958
146,Memphis,1.027,0.976,0.823,1.046,1.003,1.009
147,Seton Hall,1.027,0.999,0.954,1.085,0.984,1.020
148,SE Missouri,1.027,0.936,0.842,1.118,0.968,0.895
149,Houston Bap,1.024,1.051,1.034,1.101,0.980,1.000
150,Detroit,1.024,0.998,0.813,1.099,0.972,1.068
151,Buffalo,1.024,1.046,0.924,1.045,1.012,1.024
152,Georgetown,1.023,0.910,0.986,1.043,1.001,1.032
